n_neighbors,weights,metric,p,train_accuracy,test_accuracy,test_error,test_f1,test_precision,test_recall,cv_mean,cv_std,overfit_gap
7,uniform,euclidean,,0.8544303797468354,0.835,0.16500000000000004,0.835820895522388,0.8316831683168316,0.84,0.8205823068309069,0.0364116694976086,0.01943037974683548
7,uniform,manhattan,,0.8523206751054853,0.83,0.17000000000000004,0.8316831683168316,0.8235294117647058,0.84,0.8227099664053752,0.02984648352168212,0.0223206751054853
7,uniform,minkowski,1.0,0.8523206751054853,0.83,0.17000000000000004,0.8316831683168316,0.8235294117647058,0.84,0.8227099664053752,0.02984648352168212,0.0223206751054853
7,uniform,minkowski,1.5,0.8502109704641351,0.84,0.16000000000000003,0.84,0.84,0.84,0.8205823068309069,0.03989658698989697,0.010210970464135105
7,uniform,minkowski,2.0,0.8544303797468354,0.835,0.16500000000000004,0.835820895522388,0.8316831683168316,0.84,0.8205823068309069,0.0364116694976086,0.01943037974683548
7,uniform,minkowski,2.5,0.8502109704641351,0.835,0.16500000000000004,0.8341708542713567,0.8383838383838383,0.83,0.8184770436730122,0.036017170392613526,0.01521097046413511
7,uniform,minkowski,3.0,0.8502109704641351,0.84,0.16000000000000003,0.8383838383838383,0.8469387755102041,0.83,0.8206047032474805,0.036860991017139515,0.010210970464135105
7,distance,euclidean,,1.0,0.835,0.16500000000000004,0.835820895522388,0.8316831683168316,0.84,0.7953191489361703,0.03993202567467946,0.16500000000000004
7,distance,manhattan,,1.0,0.835,0.16500000000000004,0.8374384236453202,0.8252427184466019,0.85,0.7974692049272116,0.03483298764747962,0.16500000000000004
7,distance,minkowski,1.0,1.0,0.835,0.16500000000000004,0.8374384236453202,0.8252427184466019,0.85,0.7974692049272116,0.03483298764747962,0.16500000000000004
7,distance,minkowski,1.5,1.0,0.84,0.16000000000000003,0.84,0.84,0.84,0.7932138857782756,0.03990722189973475,0.16000000000000003
7,distance,minkowski,2.0,1.0,0.835,0.16500000000000004,0.835820895522388,0.8316831683168316,0.84,0.7953191489361703,0.03993202567467946,0.16500000000000004
7,distance,minkowski,2.5,1.0,0.825,0.17500000000000004,0.8258706467661692,0.8217821782178217,0.83,0.7932138857782756,0.045608343379182806,0.17500000000000004
7,distance,minkowski,3.0,1.0,0.825,0.17500000000000004,0.8258706467661692,0.8217821782178217,0.83,0.7953191489361703,0.043644197574963864,0.17500000000000004
10,uniform,euclidean,,0.8438818565400844,0.825,0.17500000000000004,0.8223350253807107,0.8350515463917526,0.81,0.8206047032474805,0.033721299064036564,0.018881856540084452
10,uniform,manhattan,,0.8438818565400844,0.835,0.16500000000000004,0.8341708542713567,0.8383838383838383,0.83,0.8142665173572228,0.030782617862070125,0.008881856540084443
10,uniform,minkowski,1.0,0.8438818565400844,0.835,0.16500000000000004,0.8341708542713567,0.8383838383838383,0.83,0.8142665173572228,0.030782617862070125,0.008881856540084443
10,uniform,minkowski,1.5,0.8438818565400844,0.825,0.17500000000000004,0.8241206030150754,0.8282828282828283,0.82,0.8163717805151174,0.03611260879928149,0.018881856540084452
10,uniform,minkowski,2.0,0.8438818565400844,0.825,0.17500000000000004,0.8223350253807107,0.8350515463917526,0.81,0.8206047032474805,0.033721299064036564,0.018881856540084452
10,uniform,minkowski,2.5,0.8459915611814346,0.83,0.17000000000000004,0.8282828282828283,0.8367346938775511,0.82,0.8206047032474805,0.036860991017139515,0.015991561181434633
10,uniform,minkowski,3.0,0.8438818565400844,0.825,0.17500000000000004,0.8258706467661692,0.8217821782178217,0.83,0.8227323628219485,0.033855500721154674,0.018881856540084452
10,distance,euclidean,,1.0,0.825,0.17500000000000004,0.8258706467661692,0.8217821782178217,0.83,0.8100783874580066,0.04487897651716036,0.17500000000000004
10,distance,manhattan,,1.0,0.82,0.18000000000000005,0.8217821782178217,0.8137254901960784,0.83,0.807973124300112,0.03812856889181648,0.18000000000000005
10,distance,minkowski,1.0,1.0,0.82,0.18000000000000005,0.8217821782178217,0.8137254901960784,0.83,0.807973124300112,0.03812856889181648,0.18000000000000005
10,distance,minkowski,1.5,1.0,0.825,0.17500000000000004,0.8258706467661692,0.8217821782178217,0.83,0.807973124300112,0.04200044134550518,0.17500000000000004
10,distance,minkowski,2.0,1.0,0.825,0.17500000000000004,0.8258706467661692,0.8217821782178217,0.83,0.8100783874580066,0.04487897651716036,0.17500000000000004
10,distance,minkowski,2.5,1.0,0.825,0.17500000000000004,0.8258706467661692,0.8217821782178217,0.83,0.8121836506159015,0.043597856486200647,0.17500000000000004
10,distance,minkowski,3.0,1.0,0.825,0.17500000000000004,0.8258706467661692,0.8217821782178217,0.83,0.8143113101903696,0.04257595901800627,0.17500000000000004
15,uniform,euclidean,,0.8438818565400844,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8247704367301232,0.04151466858416166,0.013881856540084447
15,uniform,manhattan,,0.8333333333333334,0.82,0.18000000000000005,0.8285714285714286,0.7909090909090909,0.87,0.8290257558790595,0.03837509486646634,0.01333333333333342
15,uniform,minkowski,1.0,0.8333333333333334,0.82,0.18000000000000005,0.8285714285714286,0.7909090909090909,0.87,0.8290257558790595,0.03837509486646634,0.01333333333333342
15,uniform,minkowski,1.5,0.8417721518987342,0.82,0.18000000000000005,0.8285714285714286,0.7909090909090909,0.87,0.8268756998880178,0.0460915858898534,0.02177215189873427
15,uniform,minkowski,2.0,0.8438818565400844,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8247704367301232,0.04151466858416166,0.013881856540084447
15,uniform,minkowski,2.5,0.8523206751054853,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8205823068309069,0.040992442141475245,0.0223206751054853
15,uniform,minkowski,3.0,0.8502109704641351,0.835,0.16500000000000004,0.8436018957345972,0.8018018018018018,0.89,0.8205823068309069,0.040992442141475245,0.01521097046413511
15,distance,euclidean,,1.0,0.835,0.16500000000000004,0.8405797101449275,0.8130841121495327,0.87,0.8184994400895856,0.04416732346331308,0.16500000000000004
15,distance,manhattan,,1.0,0.835,0.16500000000000004,0.8390243902439024,0.819047619047619,0.86,0.8206047032474805,0.038622488885172945,0.16500000000000004
15,distance,minkowski,1.0,1.0,0.835,0.16500000000000004,0.8390243902439024,0.819047619047619,0.86,0.8206047032474805,0.038622488885172945,0.16500000000000004
15,distance,minkowski,1.5,1.0,0.83,0.17000000000000004,0.8349514563106796,0.8113207547169812,0.86,0.8163493840985442,0.04549439397389622,0.17000000000000004
15,distance,minkowski,2.0,1.0,0.835,0.16500000000000004,0.8405797101449275,0.8130841121495327,0.87,0.8184994400895856,0.04416732346331308,0.16500000000000004
15,distance,minkowski,2.5,1.0,0.835,0.16500000000000004,0.8405797101449275,0.8130841121495327,0.87,0.816394176931691,0.047155685676840815,0.16500000000000004
